scenario_id,outer_id,repeat,fold,candidate_rank,mean_test_r2,std_test_r2,mean_train_r2,std_train_r2,elapsed_grid_seconds_for_outer_fold,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
A_BMP_VS_all_features,1,1,1,212,0.292932391283665,0.16476944601521337,0.6709908982760633,0.02586798232219336,38.956488847732544,10.0,sqrt,4,2,50
A_BMP_VS_all_features,1,1,1,180,0.30422379295530194,0.14559967118950018,0.6728035291504199,0.024888375096118576,38.956488847732544,10.0,sqrt,4,2,100
A_BMP_VS_all_features,1,1,1,143,0.3103304687765417,0.15500038786885084,0.6748934249455579,0.022214231352178253,38.956488847732544,10.0,sqrt,4,2,150
A_BMP_VS_all_features,1,1,1,212,0.292932391283665,0.16476944601521337,0.6709908982760633,0.02586798232219336,38.956488847732544,10.0,sqrt,4,5,50
A_BMP_VS_all_features,1,1,1,180,0.30422379295530194,0.14559967118950018,0.6728035291504199,0.024888375096118576,38.956488847732544,10.0,sqrt,4,5,100
A_BMP_VS_all_features,1,1,1,143,0.3103304687765417,0.15500038786885084,0.6748934249455579,0.022214231352178253,38.956488847732544,10.0,sqrt,4,5,150
A_BMP_VS_all_features,1,1,1,195,0.3023814123863202,0.1592724081922194,0.6551383131420339,0.02369750690187573,38.956488847732544,10.0,sqrt,4,10,50
A_BMP_VS_all_features,1,1,1,151,0.30949955761737497,0.13858146663661572,0.6530688639933626,0.02462896946624613,38.956488847732544,10.0,sqrt,4,10,100
A_BMP_VS_all_features,1,1,1,170,0.3058105260855669,0.14527912572790178,0.6548000299864251,0.022496021776574896,38.956488847732544,10.0,sqrt,4,10,150
A_BMP_VS_all_features,1,1,1,8,0.35398256868549016,0.17952511098701757,0.9079474101407042,0.004676327144112509,38.956488847732544,10.0,0.7,1,2,50
A_BMP_VS_all_features,1,1,1,9,0.35366397470047134,0.17825460179071556,0.9075338362765061,0.010655996109362815,38.956488847732544,10.0,0.7,1,2,100
A_BMP_VS_all_features,1,1,1,10,0.35353436136860605,0.17240640059825632,0.9084834387171039,0.0067770470569744334,38.956488847732544,10.0,0.7,1,2,150
A_BMP_VS_all_features,1,1,1,73,0.32480320583908445,0.16070919459302313,0.8601429748767357,0.006967724275557965,38.956488847732544,10.0,0.7,1,5,50
A_BMP_VS_all_features,1,1,1,39,0.33357120954743374,0.15053418231834825,0.8619175553665119,0.011852856731082573,38.956488847732544,10.0,0.7,1,5,100
A_BMP_VS_all_features,1,1,1,26,0.33842227646187445,0.14044150075915157,0.8621524416656609,0.010308292779522369,38.956488847732544,10.0,0.7,1,5,150
A_BMP_VS_all_features,1,1,1,137,0.31156875768375275,0.14873976281836665,0.7616223605345749,0.011239858920610274,38.956488847732544,10.0,0.7,1,10,50
A_BMP_VS_all_features,1,1,1,117,0.31624839530482285,0.1595405961307186,0.76546132601742,0.015565284684755766,38.956488847732544,10.0,0.7,1,10,100
A_BMP_VS_all_features,1,1,1,84,0.3219771580867082,0.14857976131232564,0.7645523234738756,0.0147054886018099,38.956488847732544,10.0,0.7,1,10,150
A_BMP_VS_all_features,1,1,1,130,0.3129770583057527,0.17376645258033624,0.8562390408180492,0.006748628837255074,38.956488847732544,10.0,0.7,2,2,50
A_BMP_VS_all_features,1,1,1,29,0.3374648215627755,0.1761612918539989,0.854014581696567,0.013070897828272296,38.956488847732544,10.0,0.7,2,2,100
A_BMP_VS_all_features,1,1,1,22,0.3413026396943556,0.17096002683695927,0.8531540348112543,0.011767284248369692,38.956488847732544,10.0,0.7,2,2,150
A_BMP_VS_all_features,1,1,1,96,0.32053927778758184,0.1863094431895603,0.8367468828596671,0.009745110307944433,38.956488847732544,10.0,0.7,2,5,50
A_BMP_VS_all_features,1,1,1,100,0.3200202361980782,0.19402260552724224,0.8352581989688993,0.013893649044856958,38.956488847732544,10.0,0.7,2,5,100
A_BMP_VS_all_features,1,1,1,34,0.33637677565020063,0.1664328459342241,0.8349856021787156,0.012864277436516195,38.956488847732544,10.0,0.7,2,5,150
A_BMP_VS_all_features,1,1,1,110,0.31802620188619696,0.1487498973205153,0.7448564724228491,0.01193439202572125,38.956488847732544,10.0,0.7,2,10,50
A_BMP_VS_all_features,1,1,1,97,0.32037128746760446,0.15750920059193477,0.7440565074232197,0.015801951287772724,38.956488847732544,10.0,0.7,2,10,100
A_BMP_VS_all_features,1,1,1,61,0.3264452024899488,0.14855288070354672,0.7413520645804376,0.013885090411703323,38.956488847732544,10.0,0.7,2,10,150
A_BMP_VS_all_features,1,1,1,54,0.3270955118872533,0.13425958117916642,0.7204604749374369,0.01491313060465945,38.956488847732544,10.0,0.7,4,2,50
A_BMP_VS_all_features,1,1,1,102,0.3190142754607696,0.13568366198913873,0.7173063857982175,0.01824809214058919,38.956488847732544,10.0,0.7,4,2,100
A_BMP_VS_all_features,1,1,1,62,0.3255962606945113,0.12104192674412341,0.7155413982382207,0.015129925055986338,38.956488847732544,10.0,0.7,4,2,150
A_BMP_VS_all_features,1,1,1,54,0.3270955118872533,0.13425958117916642,0.7204604749374369,0.01491313060465945,38.956488847732544,10.0,0.7,4,5,50
A_BMP_VS_all_features,1,1,1,102,0.3190142754607696,0.13568366198913873,0.7173063857982175,0.01824809214058919,38.956488847732544,10.0,0.7,4,5,100
A_BMP_VS_all_features,1,1,1,62,0.3255962606945113,0.12104192674412341,0.7155413982382207,0.015129925055986338,38.956488847732544,10.0,0.7,4,5,150
A_BMP_VS_all_features,1,1,1,127,0.3132515724443464,0.14603882764736997,0.695096755473647,0.017945628080632537,38.956488847732544,10.0,0.7,4,10,50
A_BMP_VS_all_features,1,1,1,88,0.3214469257129265,0.14037044842047067,0.6922912823298513,0.019634432032363796,38.956488847732544,10.0,0.7,4,10,100
A_BMP_VS_all_features,1,1,1,76,0.3241502997265495,0.1284957594923484,0.6902274388594897,0.017056322463324704,38.956488847732544,10.0,0.7,4,10,150
A_BMP_VS_all_features,1,1,1,3,0.35936933532795834,0.17695685285060808,0.9055834778642395,0.006863939015714711,38.956488847732544,,sqrt,1,2,50
A_BMP_VS_all_features,1,1,1,47,0.3291228646438345,0.17545663161318864,0.9101147233114111,0.009116148937594345,38.956488847732544,,sqrt,1,2,100
A_BMP_VS_all_features,1,1,1,42,0.33187672216237674,0.17429495472521636,0.9105891654601275,0.007162656128468459,38.956488847732544,,sqrt,1,2,150
A_BMP_VS_all_features,1,1,1,46,0.3306452433447341,0.17930223062352607,0.8536383399230733,0.0061904458874895915,38.956488847732544,,sqrt,1,5,50
A_BMP_VS_all_features,1,1,1,99,0.3200550382691791,0.16122451933929347,0.8511561813050778,0.010812302776251887,38.956488847732544,,sqrt,1,5,100
A_BMP_VS_all_features,1,1,1,121,0.3148966600188647,0.1674722400406045,0.8513102450948384,0.010814737366798924,38.956488847732544,,sqrt,1,5,150
